"idBank";"Dernière mise à jour";"Nature";"Zone géographique";"Correction";"﻿Base de l'indice";"Périodicité";"Puissance";"Indicateur";"Unité"
"010567045";"24/02/2022 08:45";"Indice";"94 - Val-de-Marne";"Corrigé des variations saisonnières";"2015";"Trimestrielle";"0";"Indice de prix des appartements (logements anciens)";"sans objet"
"010567046";"24/02/2022 08:45";"Indice";"94 - Val-de-Marne";"Non corrigé";"2015";"Trimestrielle";"0";"Indice de prix des logements anciens";"sans objet"
"010567047";"24/02/2022 08:45";"Indice";"94 - Val-de-Marne";"Corrigé des variations saisonnières";"2015";"Trimestrielle";"0";"Indice de prix des logements anciens";"sans objet"
"010567048";"24/02/2022 08:45";"Indice";"94 - Val-de-Marne";"Non corrigé";"2015";"Trimestrielle";"0";"Indice de prix des maisons (logements anciens)";"sans objet"
"010567049";"24/02/2022 08:45";"Indice";"94 - Val-de-Marne";"Corrigé des variations saisonnières";"2015";"Trimestrielle";"0";"Indice de prix des maisons (logements anciens)";"sans objet"
"010567050";"24/02/2022 08:45";"Indice";"95 - Val-d'Oise";"Non corrigé";"2015";"Trimestrielle";"0";"Indice de prix des appartements (logements anciens)";"sans objet"
"010567051";"24/02/2022 08:45";"Indice";"95 - Val-d'Oise";"Corrigé des variations saisonnières";"2015";"Trimestrielle";"0";"Indice de prix des appartements (logements anciens)";"sans objet"
"010567052";"24/02/2022 08:45";"Indice";"95 - Val-d'Oise";"Non corrigé";"2015";"Trimestrielle";"0";"Indice de prix des logements anciens";"sans objet"
"010567053";"24/02/2022 08:45";"Indice";"95 - Val-d'Oise";"Corrigé des variations saisonnières";"2015";"Trimestrielle";"0";"Indice de prix des logements anciens";"sans objet"
"010567054";"24/02/2022 08:45";"Indice";"95 - Val-d'Oise";"Non corrigé";"2015";"Trimestrielle";"0";"Indice de prix des maisons (logements anciens)";"sans objet"
"010567055";"24/02/2022 08:45";"Indice";"95 - Val-d'Oise";"Corrigé des variations saisonnières";"2015";"Trimestrielle";"0";"Indice de prix des maisons (logements anciens)";"sans objet"
"010567116";"24/02/2022 08:45";"Indice";"France hors Mayotte";"Non corrigé";"2015";"Trimestrielle";"0";"Indice de prix des appartements (logements anciens)";"sans objet"
"010567117";"24/02/2022 08:45";"Indice";"France hors Mayotte";"Corrigé des variations saisonnières";"2015";"Trimestrielle";"0";"Indice de prix des appartements (logements anciens)";"sans objet"
"010567118";"24/02/2022 08:45";"Indice";"France hors Mayotte";"Non corrigé";"2015";"Trimestrielle";"0";"Indice de prix des logements anciens";"sans objet"
"010567119";"24/02/2022 08:45";"Indice";"France hors Mayotte";"Corrigé des variations saisonnières";"2015";"Trimestrielle";"0";"Indice de prix des logements anciens";"sans objet"
"010567120";"24/02/2022 08:45";"Indice";"France hors Mayotte";"Non corrigé";"2015";"Trimestrielle";"0";"Indice de prix des maisons (logements anciens)";"sans objet"
"010567121";"24/02/2022 08:45";"Indice";"France hors Mayotte";"Corrigé des variations saisonnières";"2015";"Trimestrielle";"0";"Indice de prix des maisons (logements anciens)";"sans objet"
"010567056";"24/02/2022 08:45";"Indice";"France métropolitaine";"Non corrigé";"2015";"Trimestrielle";"0";"Indice de prix des appartements (logements anciens)";"sans objet"
"010567057";"24/02/2022 08:45";"Indice";"France métropolitaine";"Corrigé des variations saisonnières";"2015";"Trimestrielle";"0";"Indice de prix des appartements (logements anciens)";"sans objet"
"010567058";"24/02/2022 08:45";"Indice";"France métropolitaine";"Non corrigé";"2015";"Trimestrielle";"0";"Indice de prix des logements anciens";"sans objet"
"010567059";"24/02/2022 08:45";"Indice";"France métropolitaine";"Corrigé des variations saisonnières";"2015";"Trimestrielle";"0";"Indice de prix des logements anciens";"sans objet"
"010567060";"24/02/2022 08:45";"Indice";"France métropolitaine";"Non corrigé";"2015";"Trimestrielle";"0";"Indice de prix des maisons (logements anciens)";"sans objet"
"010567061";"24/02/2022 08:45";"Indice";"France métropolitaine";"Corrigé des variations saisonnières";"2015";"Trimestrielle";"0";"Indice de prix des maisons (logements anciens)";"sans objet"
"010567062";"24/02/2022 08:45";"Indice";"Province";"Non corrigé";"2015";"Trimestrielle";"0";"Indice de prix des appartements (logements anciens)";"sans objet"
"010567063";"24/02/2022 08:45";"Indice";"Province";"Corrigé des variations saisonnières";"2015";"Trimestrielle";"0";"Indice de prix des appartements (logements anciens)";"sans objet"
"010567072";"24/02/2022 08:45";"Indice";"Province";"Non corrigé";"2015";"Trimestrielle";"0";"Indice de prix des logements anciens";"sans objet"
